ML d1 d2 d3 d4 d5 d6 d7
 0.15000000  0.00000000  0.00000000  0.00000000  0.01076865  0.00000000  0.01076865  0.00000000
 0.25000000  0.00000000  0.02155867  0.19402806  0.02155867  0.02155867  0.02155867  0.00000000
 0.35000000  0.00000000  0.08092495  2.75144823  0.24277484  0.00000000  0.08092495  0.00000000
 0.45000000  0.26698679  0.00000000 25.63073145  0.80096036  0.00000000  0.26698679  0.00000000
 0.55000000  0.26483944  0.26483944 18.00908191  1.05935776  0.52967888  0.26483944  0.00000000
 0.65000000  0.37172725  0.00000000 18.58636256  7.80627228  1.48690901  1.85863626  0.00000000
 0.75000000  1.30672799  0.00000000  6.96921593 14.37400786  3.92018396  3.04903197  0.43557600
 0.85000000  8.43939361  2.81313120  1.87542080 44.07238887 24.38047044 11.25252482  4.68855201
 0.95000000  6.55095455  3.93057273  1.31019091 44.54649095 39.30572731 18.34267274 13.10190910
 1.05000000  0.00000000  6.00000000  1.00000000 16.00000000 14.00000000  3.00000000  3.00000000
 1.15000000  3.00000000  1.00000000  0.00000000  9.00000000 11.00000000  0.00000000  0.00000000
 1.25000000  1.00000000  0.00000000  0.00000000  4.00000000  4.00000000  0.00000000  0.00000000
 1.35000000  1.00000000  0.00000000  0.00000000  3.00000000  2.00000000  2.00000000  0.00000000
 1.45000000  0.00000000  1.00000000  0.00000000  2.00000000  2.00000000  1.00000000  0.00000000
