ML d1 d2 d3 d4 d5 d6 d7
 0.15000000  0.00000000  0.00000000  0.00000000  0.03465721  0.00000000  0.03465721  0.00000000
 0.25000000  0.00000000  0.06572324  0.59150917  0.06572324  0.06572324  0.06572324  0.00000000
 0.35000000  0.00000000  0.23252525  7.90585837  0.69757574  0.00000000  0.23252525  0.00000000
 0.45000000  0.71875107  0.00000000 69.00010281  2.15625321  0.00000000  0.71875107  0.00000000
 0.55000000  0.66319517  0.66319517 45.09727144  2.65278067  1.32639034  0.66319517  0.00000000
 0.65000000  0.85822369  0.00000000 42.91118468 18.02269756  3.43289477  4.29111847  0.00000000
 0.75000000  2.75067061  0.00000000 14.67024325 30.25737669  8.25201183  6.41823142  0.91689020
 0.85000000 15.96635341  5.32211780  3.54807853 83.37984556 46.12502095 21.28847121  8.87019634
 0.95000000 10.92827182  6.55696309  2.18565436 74.31224837 65.56963092 30.59916109 21.85654364
 1.05000000  0.00000000  7.96024574  1.32670762 21.22732198 18.57390673  3.98012287  3.98012287
 1.15000000  3.00000000  1.00000000  0.00000000  9.00000000 11.00000000  0.00000000  0.00000000
 1.25000000  1.00000000  0.00000000  0.00000000  4.00000000  4.00000000  0.00000000  0.00000000
 1.35000000  1.00000000  0.00000000  0.00000000  3.00000000  2.00000000  2.00000000  0.00000000
 1.45000000  0.00000000  1.00000000  0.00000000  2.00000000  2.00000000  1.00000000  0.00000000
