ML		17/04/1976	02/07/1976	19/09/1976	15/12/1976	18/02/1977	30/04/1977	24/06/1977
0.15		0	0	0	0.03465721	0	0.03465721	0
0.25		0	0.06572324	0.59150917	0.06572324	0.06572324	0.06572324	0
0.35		0	0.23252525	7.90585837	0.69757574	0	0.23252525	0
0.45		0.71875107	0	69.00010281	2.15625321	0	0.71875107	0
0.55		0.66319517	0.66319517	45.09727144	2.65278067	1.32639034	0.66319517	0
0.65		0.85822369	0	42.91118468	18.02269756	3.43289477	4.29111847	0
0.75		2.75067061	0	14.67024325	30.25737669	8.25201183	6.41823142	0.9168902
0.85		15.96635341	5.3221178	3.54807853	83.37984556	46.12502095	21.28847121	8.87019634
0.95		10.92827182	6.55696309	2.18565436	74.31224837	65.56963092	30.59916109	21.85654364
1.05		0	7.96024574	1.32670762	21.22732198	18.57390673	3.98012287	3.98012287
1.15		3	1	0	9	11	0	0
1.25		1	0	0	4	4	0	0
1.35		1	0	0	3	2	2	0
1.45		0	1	0	2	2	1	0
